DEPARTAMENTO,MUNICIPIO,VIVIENDAS,COBERTURA,ICE,IAE
ATLÁNTIDA,La Ceiba,"58,999","57,918",98.17%,98.31%
ATLÁNTIDA,El Porvenir,"6,894","6,657",96.56%,96.92%
ATLÁNTIDA,Esparta,"6,580","4,574",69.51%,70.47%
ATLÁNTIDA,Jutiapa,"9,011","7,340",81.46%,84.14%
ATLÁNTIDA,La Masica,"12,779","7,763",60.75%,62.31%
ATLÁNTIDA,San Francisco del Valle,"4,422","3,910",88.42%,89.24%
ATLÁNTIDA,Tela,"36,646","26,958",73.56%,74.28%
ATLÁNTIDA,Arizona,"9,002","6,590",73.21%,73.52%
COLÓN,Trujillo,"16,804","16,120",95.93%,96.42%
COLÓN,Balfate,"2,275","2,253",99.03%,111.30%
COLÓN,Iriona,"8,730",90,1.03%,9.63%
COLÓN,Limón,"3,555","2,632",74.04%,74.54%
COLÓN,Sabá,"9,461","9,225",97.51%,97.55%
COLÓN,Santa Fe,"1,504","1,461",97.14%,110.70%
COLÓN,Santa Rosa de Aguán,"1,770","1,475",83.33%,84.18%
COLÓN,Sonaguera,"12,770","12,485",97.77%,97.91%
COLÓN,Tocoa,"28,555","27,194",95.23%,96.30%
COLÓN,Bonito Oriental,"7,963","7,129",89.53%,91.03%
COMAYAGUA,Comayagua,"51,011","41,951",82.24%,83.21%
COMAYAGUA,Ajuterique,"3,869","3,528",91.19%,91.19%
COMAYAGUA,El Rosario,"9,491","7,278",76.68%,76.68%
COMAYAGUA,Esquías,"9,247","3,605",38.99%,39.63%
COMAYAGUA,Humuya,602,390,64.78%,64.78%
COMAYAGUA,La Libertad,"9,432","7,203",76.37%,76.56%
COMAYAGUA,Lamaní,"2,091","1,444",69.06%,69.49%
COMAYAGUA,La Trinidad,"1,352",979,72.41%,72.41%
COMAYAGUA,Lejamaní,"2,188","2,023",92.46%,92.46%
COMAYAGUA,Meámbar,"3,720","1,965",52.82%,57.31%
COMAYAGUA,Minas de Oro,"4,380","3,232",73.79%,73.79%
COMAYAGUA,Ojos de Agua,"2,997","2,081",69.44%,69.44%
COMAYAGUA,San Jerónimo,"8,338","4,794",57.50%,57.50%
COMAYAGUA,San José de Comayagua,"2,067","1,802",87.18%,87.28%
COMAYAGUA,San José del Potrero,"1,965","1,735",88.30%,88.30%
COMAYAGUA,San Luis,"3,371","2,233",66.24%,66.63%
COMAYAGUA,San Sebastián,"1,347",935,69.41%,73.20%
COMAYAGUA,Siguatepeque,"34,515","31,691",91.82%,91.87%
COMAYAGUA,Villa de San Antonio,"8,523","6,293",73.84%,73.87%
COMAYAGUA,Las Lajas,"3,725","3,370",90.47%,90.82%
COMAYAGUA,Taulabé,"9,381","8,156",86.94%,86.98%
COMAYAGUA,San Luis,"3,371","2,233",66.24%,66.63%
COMAYAGUA,San Sebastián,"1,347",935,69.41%,73.20%
COMAYAGUA,Siguatepeque,"34,515","31,691",91.82%,91.87%
COMAYAGUA,Villa de San Antonio,"8,523","6,293",73.84%,73.87%
COMAYAGUA,Las Lajas,"3,725","3,370",90.47%,90.82%
COMAYAGUA,Taulabé,"9,381","8,156",86.94%,86.98%
COPÁN,Santa Rosa de Copán,"23,333","21,844",93.62%,93.67%
COPÁN,Cabañas,"3,839","2,788",72.62%,75.64%
COPÁN,Concepción,"2,130","1,696",79.62%,83.19%
COPÁN,Copan Ruinas,"11,360","9,311",81.96%,82.96%
COPÁN,Corquín,"5,721","5,016",87.68%,88.03%
COPÁN,Cucuyagua,"5,805","5,315",91.56%,91.77%
COPÁN,Dolores,"1,692","1,396",82.51%,83.27%
COPÁN,Dulce Nombre,"2,004","1,917",95.66%,95.71%
COPÁN,El Paraíso,"6,522","4,655",71.37%,76.99%
COPÁN,Florida,"9,225","6,204",67.25%,68.15%
COPÁN,La Jigua,"3,175","2,465",77.64%,78.65%
COPÁN,La Unión,"5,669","4,862",85.76%,87.26%
COPÁN,Nueva Arcadia,"14,934","13,663",91.49%,92.51%
COPÁN,San Agustín,"1,862","1,417",76.10%,79.05%
COPÁN,San Antonio,"3,081","2,601",84.42%,85.39%
COPÁN,San Jerónimo,"1,709","1,353",79.17%,85.25%
COPÁN,San José,"2,526","1,905",75.42%,79.61%
COPÁN,San Juan de Opoa,"2,901","2,527",87.11%,87.80%
COPÁN,San Nicolás,"3,204","2,159",67.38%,72.72%
COPÁN,San Pedro,"2,503","2,224",88.85%,88.89%
COPÁN,Santa Rita,"9,263","6,996",75.53%,77.55%
COPÁN,Trinidad,"2,551","1,797",70.44%,72.17%
COPÁN,Veracruz,"1,051",862,82.02%,86.87%
CORTÉS,San Pedro Sula,"219,732","215,211",97.94%,98.10%
CORTÉS,Choloma,"67,571","65,727",97.27%,97.41%
CORTÉS,Omoa,"15,799","14,387",91.06%,92.16%
CORTÉS,Pimienta,"6,842","6,504",95.06%,95.06%
CORTÉS,Potrerillos,"7,833","7,426",94.80%,94.94%
CORTÉS,Puerto Cortés,"43,227","41,929",97.00%,97.31%
CORTÉS,San Antonio de Cortés,"6,791","5,674",83.55%,91.87%
CORTÉS,San Francisco de Yojoa,"7,181","6,628",92.30%,92.31%
CORTÉS,San Manuel,"15,966","15,338",96.07%,96.07%
CORTÉS,Santa Cruz de Yojoa,"32,176","28,542",88.71%,89.69%
CORTÉS,Villanueva,"45,878","43,968",95.84%,95.88%
CORTÉS,La Lima,"21,100","20,306",96.24%,96.26%
CHOLUTECA,Choluteca,"54,281","49,764",91.68%,91.77%
CHOLUTECA,Apacilagua,"2,779","1,501",54.01%,55.92%
CHOLUTECA,Concepción de María,"6,368","4,315",67.76%,68.42%
CHOLUTECA,Duyure,845,626,74.08%,79.88%
CHOLUTECA,El Corpus,"6,295","3,912",62.14%,65.05%
CHOLUTECA,El Triunfo,"10,535","8,165",77.50%,77.68%
CHOLUTECA,Marcovia,"13,046","11,920",91.37%,91.59%
CHOLUTECA,Morolica,"1,574",994,63.15%,63.15%
CHOLUTECA,Namasigue,"7,739","6,136",79.29%,79.56%
CHOLUTECA,Orocuina,"5,055","4,652",92.03%,92.11%
CHOLUTECA,Pespire,"7,620","6,103",80.09%,80.09%
CHOLUTECA,San Antonio de Flores,"1,826","1,675",91.73%,91.73%
CHOLUTECA,San Isidro,994,909,91.45%,91.45%
CHOLUTECA,San José,"1,097","1,004",91.52%,101.19%
CHOLU0TECA,San Marcos de Colón,"7,960","5,994",75.30%,80.13%
CHOLUTECA,Santa Ana de Yusguare,"4,327","4,109",94.96%,95.68%
EL PARAÍSO,Yuscarán,"4,148","3,833",92.41%,92.60%
EL PARAÍSO,Alauca,"1,809","1,588",87.78%,88.17%
EL PARAÍSO,Danlí,"53,729","43,145",80.30%,80.93%
EL PARAÍSO,El Paraíso,"12,459","10,859",87.16%,90.10%
EL PARAÍSO,Guinope,"2,899","2,552",88.03%,89.44%
EL PARAÍSO,Jacaleapa,"1,585","1,534",96.78%,96.78%
EL PARAÍSO,Liure,"2,195","1,946",88.66%,88.70%
EL PARAÍSO,Morocelí,"4,638","3,952",85.21%,85.75%
EL PARAÍSO,Oropolí,"1,752","1,681",95.95%,96.29%
EL PARAÍSO,Potrerillos,"1,480","1,395",94.26%,95.00%
EL PARAÍSO,San Antonio de Flores,"1,397",903,64.64%,64.64%
EL PARAÍSO,San Lucas,"1,199",760,63.39%,64.14%
EL PARAÍSO,San Matías,"1,652","1,588",96.13%,96.13%
EL PARAÍSO,Soledad,"2,881","2,610",90.59%,92.85%
EL PARAÍSO,Teupasenti,"8,929","4,034",45.18%,48.71%
EL PARAÍSO,Texiguat,"2,002",858,42.86%,44.71%
EL PARAÍSO,Vado Ancho,872,641,73.51%,73.51%
EL PARAÍSO,Yauyupe,472,394,83.47%,83.47%
EL PARAÍSO,Trojes,"9,416","3,559",37.80%,40.88%
FRANCISCO MORAZÁN,Distrito Central,"326,353","321,366",98.47%,98.66%
FRANCISCO MORAZÁN,Alubarén,"1,205","1,093",90.71%,90.71%
FRANCISCO MORAZÁN,Cedros,"12,485","7,308",58.53%,58.55%
FRANCISCO MORAZÁN,Curarén,"4,772","1,390",29.13%,29.17%
FRANCISCO MORAZÁN,El Porvenir,"9,858","5,920",60.05%,60.31%
FRANCISCO MORAZÁN,Guaimaca,"9,201","7,764",84.38%,85.47%
FRANCISCO MORAZÁN,La Libertad,778,691,88.82%,91.13%
FRANCISCO MORAZÁN,La Venta,"1,786","1,649",92.33%,92.33%
FRANCISCO MORAZÁN,Lepaterique,"6,171","2,218",35.94%,40.19%
FRANCISCO MORAZÁN,Maraita,"1,971","1,817",92.19%,98.27%
FRANCISCO MORAZÁN,Marale,"1,730","1,207",69.77%,73.12%
FRANCISCO MORAZÁN,Nueva Armenia,"1,084",904,83.39%,83.39%
FRANCISCO MORAZÁN,Ojojona,"3,240","2,366",73.02%,82.07%
FRANCISCO MORAZÁN,Orica,"4,106","3,615",88.04%,88.07%
FRANCISCO MORAZÁN,Reitoca,"2,396","1,843",76.92%,81.43%
FRANCISCO MORAZÁN,Sabanagrande,"5,535","5,211",94.15%,94.22%
FRANCISCO MORAZÁN,San Antonio de Oriente,"4,601","4,274",92.89%,94.31%
FRANCISCO MORAZÁN,San Buenaventura,722,596,82.55%,82.55%
FRANCISCO MORAZÁN,San Ignacio,"3,352","3,016",89.98%,89.98%
FRANCISCO MORAZÁN,San Juan de Flores,"4,357","4,057",93.11%,94.08%
FRANCISCO MORAZÁN,San Miguelito,537,507,94.41%,94.41%
FRANCISCO MORAZÁN,Santa Ana,"4,791","4,476",93.43%,93.45%
FRANCISCO MORAZÁN,Santa Lucía,"5,303","5,140",96.93%,96.93%
FRANCISCO MORAZÁN,Talanga,"13,171","11,803",89.61%,89.72%
FRANCISCO MORAZÁN,Tatumbla,"3,579","3,365",94.02%,94.02%
FRANCISCO MORAZÁN,Valle de Ángeles,"6,691","6,547",97.85%,98.22%
FRANCISCO MORAZÁN,Villa de San Francisco,"3,405","3,340",98.09%,98.09%
FRANCISCO MORAZÁN,Vallecillo,"3,657","2,317",63.36%,64.53%
GRACIAS A DIOS,Puerto Lempira,"9,256","2,662",28.76%,63.73%
GRACIAS A DIOS,Brus Laguna,"3,379",-,0.00%,1.39%
GRACIAS A DIOS,Ahuás,"2,230",-,0.00%,0.00%
GRACIAS A DIOS,Juan Francisco Bulnes,"1,769",-,0.00%,4.52%
GRACIAS A DIOS,Villeda Morales,"2,445",-,0.00%,1.92%
GRACIAS A DIOS,Wampusirpi,"1,989",-,0.00%,0.00%
INTIBUCA,La Esperanza,"4,661","4,249",91.16%,96.59%
INTIBUCA,Camasca,"2,004","1,865",93.06%,95.51%
INTIBUCA,Colomoncagua,"4,529","3,838",84.74%,87.61%
INTIBUCA,Concepción,"2,600","2,416",92.92%,95.85%
INTIBUCA,Dolores,"1,056",537,50.85%,52.08%
INTIBUCA,Intibucá,"16,745","10,230",61.09%,69.18%
INTIBUCA,Jesús de Otoro,"10,107","7,124",70.49%,74.02%
INTIBUCA,Magdalena,"1,376","1,287",93.53%,93.60%
INTIBUCA,Masaguara,"4,435","2,771",62.48%,71.88%
INTIBUCA,San Antonio,"1,557","1,432",91.97%,93.90%
INTIBUCA,San Isidro,"1,546","1,219",78.85%,78.85%
INTIBUCA,San Juan,"5,882","3,875",65.88%,72.27%
INTIBUCA,San Marcos de la Sierra,"2,298",948,41.25%,60.62%
INTIBUCA,San Miguelito,"2,417","1,396",57.76%,57.76%
INTIBUCA,Santa Lucía,"1,657","1,547",93.36%,93.36%
INTIBUCA,Yamaranguila,"6,292","2,628",41.77%,64.30%
INTIBUCA,San Francisco de Opalaca,"2,852",350,12.27%,47.93%
ISLA DE LA BAHÍA,Roatán,"13,819","13,594",98.37%,98.41%
ISLA DE LA BAHÍA,Guanaja,"2,031","1,959",96.45%,96.45%
ISLA DE LA BAHÍA,José Santos Guardiola,"3,964","3,926",99.04%,99.14%
ISLA DE LA BAHÍA,Utila,"2,624","2,612",99.54%,99.58%
LA PAZ,La Paz,"13,267","12,069",90.97%,92.64%
LA PAZ,Aguanqueterique,"1,472",792,53.80%,80.30%
LA PAZ,Cabañas,"1,142",538,47.11%,57.27%
LA PAZ,Cane,"1,518","1,275",83.99%,85.44%
LA PAZ,Chinacla,"1,693","1,108",65.45%,90.90%
LA PAZ,Guajiquiro,"2,908","1,578",54.26%,81.09%
LA PAZ,Lauterique,752,661,87.90%,88.56%
LA PAZ,Marcala,"9,582","7,683",80.18%,83.34%
LA PAZ,Mercedes de Oriente,309,208,67.31%,84.79%
LA PAZ,Opatoro,"1,854","1,116",60.19%,76.75%
LA PAZ,San Antonio del Norte,891,835,93.71%,96.30%
LA PAZ,San José,"2,230","1,922",86.19%,90.94%
LA PAZ,San Juan,626,577,92.17%,152.24%
LA PAZ,San Pedro de Tutule,"1,956","1,649",84.30%,89.06%
LA PAZ,Santa Ana,"2,486","1,233",49.60%,49.64%
LA PAZ,Santa Elena,"3,157","1,339",42.41%,47.96%
LA PAZ,Santa María,"2,920","2,232",76.44%,87.29%
LA PAZ,Santiago de Puringla,"4,966","3,115",62.73%,75.13%
LA PAZ,Yarula,"2,356","1,455",61.76%,68.46%
LEMPIRA,Gracias,"18,133","16,028",88.39%,93.95%
LEMPIRA,Belén,"3,030","1,231",40.63%,47.29%
LEMPIRA,Candelaria,"2,087","1,910",91.52%,92.53%
LEMPIRA,Cololaca,"2,395","1,942",81.09%,86.35%
LEMPIRA,Erandique,"5,817","2,235",38.42%,57.50%
LEMPIRA,Gualcince,"2,972","1,762",59.29%,76.11%
LEMPIRA,Guarita,"3,616","2,873",79.45%,80.28%
LEMPIRA,La Campa,"2,254","1,260",55.90%,64.82%
LEMPIRA,La Iguala,"7,456","5,417",72.65%,78.65%
LEMPIRA,Las Flores,"3,059","2,760",90.23%,93.20%
LEMPIRA,La Unión,"3,771","3,448",91.43%,93.69%
LEMPIRA,La Virtud,"2,167","1,977",91.23%,91.65%
LEMPIRA,Lepaera,"12,000","9,075",75.63%,80.35%
