DEPARTAMENTO,MUNICIPIO,TOTAL_DE_VIVIENDAS,VIVIENDAS_CON_ACCESO_A_ELECTRICIDAD,IAE
Colón,Iriona,10565,841,7.96%
El Paraíso,San Lucas,2324,761,32.75%
El Paraíso,Teupasenti,10688,4318,40.40%
El Paraíso,Trojes,11924,3839,32.20%
Francisco Morazán,Curarén,5092,1374,26.98%
Francisco Morazán,Lepaterique,6278,2567,40.89%
Francisco Morazán,Marale,2794,1235,44.20%
Gracías a Dlos,Brus Laguna,3852,1150,29.85%
Gracías a Dlos,Ahuás,2865,0,0.00%
Gracías a Dlos,Juan Francisco Bulnes,2003,80,3.99%
Gracías a Dlos,Villeda Morales,2939,47,1.60%
Gracías a Dlos,Wampusirpi,1851,0,0.00%
Lempira,San Sebastián,3450,1386,40.17%
Olancho,Dulce nombre de Culmi,8059,3918,48.62%
Olancho,Guata,2423,1208,49.86%
Olancho,Mangulile,1766,789,44.68%
Olancho,Patuca,7286,3493,47.94%
