Municipios,Departamentos,Viviendas,Acceso,IAE
Iriona,Colón,12375,848,6.85%
San Lucas,El Paraíso,2368,762,32.18%
Teupasenti,El Paraíso,10743,4514,42.02%
Trojes,El Paraíso,18740,4100,21.88%
Curarén,Francisco Morazán,5298,1457,27.50%
Lepaterique,Francisco Morazán,6831,2680,39.23%
Marale,Francisco Morazán,2917,1253,42.96%
Ahuás,Gracias a Dios,3818,0,0%
Puerto Lempira,Gracias a Dios,13496,5950,44.09%
Villeda Morales,Gracias a Dios,3627,0,0%
Brus Laguna,Gracias a Dios,6651,1251,18.81%
Juan Francisco Bulnes,Gracias a Dios,2994,52,1.74%
Wampusiripi,Gracias a Dios,3683,2,0.05%
Dulce nombre de Culmí,Olancho,11123,4383,39.40%
Guata,Olancho,2702,1354,50.11%
Patuca,Olancho,9619,3685,38.31%
