-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  15.6302   Longitude -87.9222 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 319.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,4.2698,4.3697,5.8594,5.8483,5.0076,5.1862,5.6268,5.1931,4.9762,3.9118,4.3265,2.9494,4.7928
ALLSKY_SFC_SW_DWN,2001,3.6545,5.0741,5.9059,6.091,5.4254,5.8838,6.0137,5.4631,5.3378,4.1354,3.5215,3.497,4.9973
ALLSKY_SFC_SW_DWN,2002,4.0982,4.3075,5.9906,6.2057,5.4502,5.6544,5.3354,5.7617,5.2966,4.9615,3.8554,3.6926,5.0546
ALLSKY_SFC_SW_DWN,2003,2.4804,4.957,5.8164,5.893,5.6791,5.8464,5.3131,5.6494,5.6498,4.5828,3.5834,2.8608,4.8542
ALLSKY_SFC_SW_DWN,2004,3.9893,4.6248,4.8041,5.6681,5.3186,5.4408,5.5349,5.8027,5.5279,4.7419,3.8383,3.2287,4.8754
ALLSKY_SFC_SW_DWN,2005,4.0051,5.2284,5.1871,5.0957,5.232,5.2171,5.4626,5.4989,5.107,3.7702,3.5028,3.6506,4.7426
ALLSKY_SFC_SW_DWN,2006,3.5837,4.4638,5.8637,5.8459,5.495,4.7424,5.395,5.4319,5.4778,4.645,3.4862,3.407,4.8218
ALLSKY_SFC_SW_DWN,2007,4.2086,5.269,5.1473,5.7113,5.8044,5.647,5.839,5.3803,4.9493,4.0226,2.9611,3.8311,4.8955
ALLSKY_SFC_SW_DWN,2008,4.003,5.0623,5.3004,5.7281,5.616,4.9195,5.1814,5.8318,5.3088,3.1961,3.3977,3.4987,4.751
ALLSKY_SFC_SW_DWN,2009,3.9298,4.2799,5.5836,5.8884,5.381,5.5166,5.4223,5.5085,5.4703,4.9807,3.5299,4.2098,4.9795
ALLSKY_SFC_SW_DWN,2010,3.5522,4.3495,4.9642,5.5073,5.2514,5.3702,5.3621,5.353,5.3023,3.4663,3.9113,3.6012,4.6646
ALLSKY_SFC_SW_DWN,2011,4.0872,4.9378,5.7797,5.6052,5.5457,5.4854,5.2692,5.7367,5.1768,3.7858,3.8057,3.3022,4.8744
ALLSKY_SFC_SW_DWN,2012,4.038,4.6094,5.7002,5.8202,4.9735,5.5358,5.4542,5.6851,5.5162,4.488,2.9515,4.1988,4.9154
ALLSKY_SFC_SW_DWN,2013,3.8357,5.0827,4.9159,5.6465,5.5886,5.1982,5.5258,5.2428,5.0532,4.8802,3.6636,3.5592,4.847
ALLSKY_SFC_SW_DWN,2014,3.3967,5.2577,5.8375,5.8644,4.8564,5.3489,5.4806,5.7802,5.0666,4.3279,3.3626,3.5474,4.8398
