Entity,Code,Year,Other renewables,Bioenergy,Solar,Wind,Hydropower,Nuclear,Oil,Gas,Coal
Honduras,HND,2000,0,0.01,0,0,2.24,0,1.39,0,0
Honduras,HND,2001,0,0.06,0,0,1.88,0,1.97,0,0
Honduras,HND,2002,0,0.09,0,0,1.6,0,2.46,0,0
Honduras,HND,2003,0,0.2,0,0,1.72,0,2.76,0,0
Honduras,HND,2004,0,0.37,0,0,1.39,0,3.4,0,0
Honduras,HND,2005,0,0.13,0,0,1.7,0,3.7,0,0
Honduras,HND,2006,0,0.14,0,0,2.05,0,3.77,0,0
Honduras,HND,2007,0,0.17,0,0,2.19,0,3.93,0,0
Honduras,HND,2008,0,0.2,0,0,2.27,0,4.01,0,0
Honduras,HND,2009,0,0.48,0,0,2.77,0,3.61,0,0
Honduras,HND,2010,0,0.45,0,0,3.05,0,3.7,0,0
Honduras,HND,2011,0,0.53,0,0.12,2.79,0,3.93,0,0.1
Honduras,HND,2012,0,0.54,0,0.34,2.76,0,4.1,0,0.1
Honduras,HND,2013,0,0.6,0,0.31,2.71,0,4.49,0,0.1
Honduras,HND,2014,0,0.38,0.01,0.4,2.58,0,4.8,0,0.13
Honduras,HND,2015,0,0.54,0.44,0.67,2.32,0,4.95,0,0.09
Honduras,HND,2016,0,0.75,0.89,0.58,2.25,0,4.79,0,0.04
Honduras,HND,2017,0.09,0.81,0.93,0.58,2.97,0,4,0,0
Honduras,HND,2018,0.3,0.72,1,0.93,3.15,0,3.61,0,0
Honduras,HND,2019,0.3,0.97,1.12,0.82,2.43,0,4.97,0,0.05
Honduras,HND,2020,0.31,0.71,1.11,0.71,2.7,0,4.55,0,0.05
Honduras,HND,2021,0.35,0.8,1.14,0.77,3.77,0,4.23,0,0.06
Honduras,HND,2022,0.34,0.81,1.04,0.69,3.88,0,4.5,0,0.07
Honduras,HND,2023,0.35,0.83,1.04,0.69,3.88,0,5.64,0,0.06
Honduras,HND,2024,0.35,0.84,1.18,0.75,3.8,0,5.5,0,0.06
