DEPARTAMENTO,MUNICIPIO,TOTAL_DE_VIVIENDAS,VIVIENDAS_CON_ACCESO_A_ELECTRICIDAD,IAE,YEAR
Colón,Iriona,"8,730",90.0,0.09630000000000001,2022
Comayagua,Esquías,"9,247",3605.0,0.39630000000000004,2022
El Paraíso,Teupasenti,"8,929",4034.0,0.48710000000000003,2022
El Paraíso,Texiguat,"2,002",858.0,0.4471,2022
El Paraíso,Trojes,"9,416",3559.0,0.40880000000000005,2022
Francisco Morazán,Curarén,"4,772",1390.0,0.2917,2022
Francisco Morazán,Lepaterique,"6,171",2218.0,0.4019,2022
Gracias A Dios,Brus Laguna,"3,379",0.0,0.0139,2022
Gracias A Dios,Ahuás,"2,230",0.0,0.0,2022
Gracias A Dios,Juan Francisco Bulnes,"1,769",0.0,0.0452,2022
Gracias A Dios,Villeda Morales,"2,445",0.0,0.0192,2022
Gracias A Dios,Wampusirpi,"1,989",0.0,0.0,2022
Intibuca,San Francisco de Opalaca,"2,852",350.0,0.4793,2022
La Paz,Santa Ana,"2,486",1233.0,0.4964,2022
La Paz,Santa Elena,"3,157",1339.0,0.4796,2022
Lempira,Belén,"3,030",1231.0,0.4729,2022
Lempira,San Sebastián,"3,495",1115.0,0.3336,2022
Olancho,Mangulile,"1,696",790.0,0.47229999999999994,2022
Colón,Iriona,10565,841.0,0.0796,2023
El Paraíso,San Lucas,2324,761.0,0.3275,2023
El Paraíso,Teupasenti,10688,4318.0,0.40399999999999997,2023
El Paraíso,Trojes,11924,3839.0,0.322,2023
Francisco Morazán,Curarén,5092,1374.0,0.2698,2023
Francisco Morazán,Lepaterique,6278,2567.0,0.4089,2023
Francisco Morazán,Marale,2794,1235.0,0.442,2023
Gracías A Dlos,Brus Laguna,3852,1150.0,0.2985,2023
Gracías A Dlos,Ahuás,2865,0.0,0.0,2023
Gracías A Dlos,Juan Francisco Bulnes,2003,80.0,0.039900000000000005,2023
Gracías A Dlos,Villeda Morales,2939,47.0,0.016,2023
Gracías A Dlos,Wampusirpi,1851,0.0,0.0,2023
Lempira,San Sebastián,3450,1386.0,0.4017,2023
Olancho,Dulce nombre de Culmi,8059,3918.0,0.48619999999999997,2023
Olancho,Guata,2423,1208.0,0.4986,2023
Olancho,Mangulile,1766,789.0,0.4468,2023
Olancho,Patuca,7286,3493.0,0.4794,2023
Colón,Iriona,12375,848.0,0.06849999999999999,2024
El Paraíso,San Lucas,2368,762.0,0.3218,2024
El Paraíso,Teupasenti,10743,4514.0,0.4202,2024
El Paraíso,Trojes,18740,4100.0,0.2188,2024
Francisco Morazán,Curarén,5298,1457.0,0.275,2024
Francisco Morazán,Lepaterique,6831,2680.0,0.3923,2024
Francisco Morazán,Marale,2917,1253.0,0.4296,2024
Gracias A Dios,Ahuás,3818,0.0,0.0,2024
Gracias A Dios,Puerto Lempira,13496,5950.0,0.4409,2024
Gracias A Dios,Villeda Morales,3627,0.0,0.0,2024
Gracias A Dios,Brus Laguna,6651,1251.0,0.1881,2024
Gracias A Dios,Juan Francisco Bulnes,2994,52.0,0.0174,2024
Gracias A Dios,Wampusiripi,3683,2.0,0.0005,2024
Olancho,Dulce nombre de Culmí,11123,4383.0,0.39399999999999996,2024
Olancho,Patuca,9619,3685.0,0.3831,2024
