departamento,municipio,codigo_departamental,codigo_municipal,solar_power_mean_norm,poblacion_expuesta_a_terremotos_norm,poblacion_expuesta_a_inundaciones_norm,poblacion_expuesta_a_ciclones_y_marejadas_norm,poblacion_expuesta_a_deslizamientos_norm,poblacion_afectada_por_sequia_norm,poblacion_expuesta_a_incendios_forestales_norm,capacidad_de_respuesta_norm,infraestructura_norm,iae_norm,solar_suitability_index
Valle,Alianza,HN17,HN1702,1.0,0.32000000000000006,0.06999999999999995,0.24742268041237114,1.0,1.0,0.903225806451613,0.6451612903225806,0.5737704918032787,0.8712488769092542,0.7469989105992212
Francisco Morazan,San Miguelito,HN08,HN0821,0.8254835992258136,0.44999999999999996,1.0,1.0,0.48,0.050000000000000044,0.9677419354838711,0.6451612903225806,0.7377049180327869,0.8482479784366578,0.7456371300211405
Francisco Morazan,Nueva Armenia,HN08,HN0812,0.7407098926916271,1.0,1.0,1.0,0.6799999999999999,0.48,0.6129032258064515,0.6451612903225806,0.5081967213114754,0.7492362982929021,0.7436240224670234
El Paraiso,Vado Ancho,HN07,HN0717,0.7906237669430596,1.0,0.73,1.0,0.08000000000000007,0.050000000000000044,0.903225806451613,1.0,0.7540983606557377,0.6604672057502247,0.728568423457764
Valle,Caridad,HN17,HN1705,0.7903013601153436,0.38,1.0,1.0,0.37,0.050000000000000044,0.9354838709677419,1.0,0.6885245901639343,0.7926325247079964,0.726450219785628
Intibuca,Magdalena,HN10,HN1008,0.8559560436537907,0.37,1.0,1.0,0.3400000000000001,0.06999999999999995,0.8709677419354838,0.6451612903225806,0.5737704918032787,0.8409703504043127,0.7197748285318439
Intibuca,Santa Lucia,HN10,HN1015,0.8676806307243802,0.36,1.0,1.0,0.06999999999999995,0.050000000000000044,0.8387096774193548,0.6451612903225806,0.7049180327868854,0.8388140161725067,0.7166420708107625
Lempira,Mapulaca,HN13,HN1314,0.8734397618387513,0.37,1.0,1.0,0.5700000000000001,0.05999999999999994,0.903225806451613,0.2795698924731182,0.5245901639344263,0.8245283018867924,0.7161878062364375
Francisco Morazan,La Libertad,HN08,HN0807,0.8425707507041199,0.4099999999999999,1.0,1.0,0.42999999999999994,0.030000000000000027,0.8709677419354838,0.2795698924731182,0.7213114754098362,0.8187780772686433,0.7155452771540748
Valle,Amapala,HN17,HN1703,0.9841318352678097,0.28,0.44000000000000006,0.21649484536082475,0.69,0.42000000000000004,0.5806451612903225,1.0,0.5409836065573771,0.876010781671159,0.7081739815656558
Choluteca,San Jose,HN06,HN0614,0.8039920310309605,0.38,1.0,1.0,0.22999999999999998,0.050000000000000044,0.7096774193548385,0.6451612903225806,0.7213114754098362,0.9091644204851752,0.7064835101277566
Intibuca,San Antonio,HN10,HN1010,0.9022053655940081,0.4099999999999999,0.7,1.0,0.38,0.050000000000000044,0.8709677419354838,0.6451612903225806,0.4426229508196721,0.84366576819407,0.7035168788915349
Comayagua,San Sebastian,HN03,HN0317,0.5691872994251019,0.39,1.0,1.0,1.0,0.5,1.0,1.0,0.6721311475409836,0.6576819407008087,0.7033968636229649
La Paz,San Antonio Del Norte,HN12,HN1211,0.8572403803314326,0.42999999999999994,1.0,1.0,0.09999999999999998,0.06999999999999995,0.8709677419354838,0.6451612903225806,0.459016393442623,0.8652291105121294,0.7015748125437345
Lempira,Candelaria,HN13,HN1303,0.8414953512813528,0.32999999999999996,0.69,1.0,0.06999999999999995,0.30999999999999994,0.8709677419354838,0.8279569892473118,0.6557377049180327,0.8313566936208446,0.7012887267808557
Lempira,La Virtud,HN13,HN1312,0.8483295817034254,0.3400000000000001,0.8300000000000001,1.0,0.54,0.08000000000000007,0.903225806451613,0.2795698924731182,0.6229508196721312,0.8234501347708895,0.7005274920512536
Valle,Goascoran,HN17,HN1706,0.9313331738451489,0.26,0.14,1.0,1.0,0.06999999999999995,0.8064516129032259,0.4623655913978494,0.5901639344262296,0.8695417789757413,0.6996425585300851
Comayagua,Humuya,HN03,HN0305,0.6905376656533216,0.47,1.0,1.0,1.0,0.19000000000000006,0.8709677419354838,0.6451612903225806,0.6557377049180327,0.5820305480682839,0.6989811373095524
